study;year;order;latitude;ecosystem;species;stage;free;all_esters;mono-esters;di-esters
Anderson et al.;2003;NA;54;marine;Acartia spp.;mixed;72;30;29;1
Bandaranayake and Gentien;1982;NA;-18,5;marine;Temora turbinata;mixed;minority;dominant;NA;NA
Bandaranayake and Gentien;1982;NA;-18,5;marine;Centropages furcatus;mixed;minority;dominant;NA;NA
Bandaranayake and Gentien;1982;NA;-18,5;marine;Undinula vulgaris;mixed;minority;dominant;NA;NA
Bandaranayake and Gentien;1982;NA;-18,5;marine;Euchaeta russeli;mixed;dominant;minority;NA;NA
Foss et al.;1987;NA;62;marine;Calanus finmarchicus;adults;11;89;43;46
Goodwin and Srisukh;1949;NA;53;marine;Tigriopus fulvus;adults;dominant;minority;NA;NA
Holeton et al.;2009;NA;58;marine;Acartia bifilosa;adults;55;45;45;0
Juhl et al.;1996;NA;32;marine;Calanus pacificus;adults_females;15;85;NA;NA
Juhl et al.;1996;NA;34;marine;Calanus pacificus;adults_females;15;85;NA;NA
Lotocka et al.;2004;NA;54;marine;Pseudocalanus acupes;nauplii;97;3;NA;NA
Lotocka et al.;2004;NA;54;marine;Pseudocalanus acupes;copepodits;55;45;NA;NA
Lotocka et al.;2004;NA;54;marine;Pseudocalanus acupes;adults;52;48;NA;NA
Lotocka et al.;2004;NA;54;marine;Acartia spp.;nauplii;96;4;NA;NA
Lotocka et al.;2004;NA;54;marine;Acartia spp.;copepodits;61;49;NA;NA
Lotocka et al.;2004;NA;54;marine;Acartia spp.;adults;47;53;NA;NA
Rhodes et al.;2007;NA;30;marine;Nitokra lacustris;adults;60;40;NA;NA
Rhodes et al.;2007;NA;30;marine;Nitokra lacustris;adults;100;0;NA;NA
Schneider et al.;2016;NA;48;freshwater;Leptopdiaptomus minutus;mixed;14;86;18;68
Snoeijs & Haubner;2014;NA;57;marine;Temora longicornis, Pseudocalanus acupes, Acartia sp.;adults_late_copepodits;66;34;22;12
Snoeijs & Haubner;2014;NA;56;marine;Temora longicornis, Pseudocalanus acupes, Acartia sp.;adults_late copepodits;62;38;25;13
Sommaruga;2010;NA;27,8;freshwater;Arctodiaptomus jurisowitchi;adults_late copepodits;dominant;minority;NA;NA
Sommaruga;2010;NA;27,8;freshwater;Arctodiaptomus jurisowitchi;adults_late copepodits;dominant;minority;NA;NA
Sommaruga;2010;NA;27,8;freshwater;Arctodiaptomus jurisowitchi;adults_late copepodits;dominant;minority;NA;NA
Sommaruga;2010;NA;27,8;freshwater;Arctodiaptomus jurisowitchi;adults_late copepodits;dominant;minority;NA;NA
Sommaruga;2010;NA;27,8;freshwater;Arctodiaptomus jurisowitchi;adults_late copepodits;dominant;minority;NA;NA
Sommer et al.;2006;NA;54;marine;Calanus helgolandicus;adults_late_copepodits;30;70;NA;NA
Sommer et al.;2006;NA;56;marine;Calanus helgolandicus;adults_late_copepodits;40;60;NA;NA
Tartarotti et al.;2017;NA;47;freshwater;Cyclops abyssorum tatricus;mixed;50;50;NA;NA
Tartarotti et al.;2017;NA;47;freshwater;Cyclops abyssorum tatricus;mixed;20;68;NA;NA
Tartarotti et al.;2017;NA;47;freshwater;Cyclops abyssorum tatricus;mixed;45;65;NA;NA
Tartarotti et al.;2017;NA;47;freshwater;Cyclops abyssorum tatricus;mixed;45;65;NA;NA
Van der Meeren;2008;NA;60;marine;Eurytemora affinis, Centropages hamatus, Acartia grani;mixed;100;0;NA;NA
Van Nieuwerburgh et al.;2004;NA;63;marine;Acartia sp., Paracalanus, Pseudocalanus, Temora, Oithona;mixed;55;45;35;10
Weaver et al.;2016;NA;25;marine;Tigriopus japonicus;adults;97;3;NA;NA
Weaver et al.;2018;a;32;marine;Tigriopus californicus;adults;88;12;3;9
Cui et al.;2021;NA;26.093;freshwater;Arctodiaptomus walterianus;nauplii;13;87;NA;NA
Cui et al.;2021;NA;26.093;freshwater;Arctodiaptomus walterianus;adults;38;62;NA;NA